,im_path,set_name,sharpness,noise,motion_blur,contrast,saturation,lines,symmetry,faces,number_of_faces,faces_sharp_all,faces_noise_all,faces_motion_blur_all,eye_ear_list
279,189/img-2011-11-06-1051.JPG,189,52.0,30.0,73.0,"[0.45875713, 0.23237455, 0.647058829665184]",0.27898237109184265,"[-1.3505476034042077, 68.65857557508748]","[10.231152209057509, 10.330091412053346]","rectangles[[(2162, 558) (2429, 825)], [(1330, 1598) (1597, 1865)], [(2608, 1449) (2875, 1717)], [(1686, 1420) (1954, 1687)], [(1360, 914) (1627, 1182)], [(2702, 634) (3023, 955)]]",6,"[8.0, 7.0, 7.0, 11.0, 9.0, 10.0]","[6.0, 6.0, 6.0, 8.0, 7.0, 6.0]","[14.0, 15.0, 13.0, 18.0, 16.0, 18.0]","[(0.34854757371208817, 0.3607547426422969), (0.3487429162314578, 0.33441801073676836), (0.2731476747761696, 0.3240187085886237), (0.31937068564366317, 0.3239013243565878), (0.28987209334749775, 0.27468072899889634), (0.3808801588495598, 0.37218538249644184)]"
280,200/2016-09-17 15.23.47.jpg,200,33.0,13.0,51.0,"[0.58706814, 0.21599814, 0.5725490152835846]",0.4724513292312622,"[0.2714784823989145, 100.68763578513501]","[10.253727677016494, 10.408603673174415]","rectangles[[(1060, 632) (1445, 1018)]]",1,[10.0],[5.0],[19.0],"[(0.4383306553585719, 0.3849669672922241)]"
281,200/2016-09-17 15.23.56.jpg,200,32.0,15.0,46.0,"[0.571438, 0.20696254, 0.5529411733150482]",0.3846283257007599,"[-0.6246354227716135, 106.01886624558857]","[10.313914808843538, 10.379175505913334]","rectangles[[(1342, 850) (1897, 1404)]]",1,[14.0],[6.0],[31.0],"[(0.25777332600877806, 0.25786854729435055)]"
282,200/2016-09-17 15.24.04.jpg,200,28.0,12.0,43.0,"[0.6973716, 0.17814966, 0.4470588266849518]",0.38077205419540405,"[-0.4078679679739101, 88.23831367382311]","[10.447897477796333, 10.310916411780921]","rectangles[[(356, 603) (911, 1158)]]",1,[12.0],[5.0],[24.0],"[(0.32386294218114886, 0.35338930161992027)]"
283,200/2016-09-17 15.24.05.jpg,200,32.0,15.0,50.0,"[0.60356337, 0.19621077, 0.5529411733150482]",0.424159973859787,"[-0.09065988720074511, 66.27216610312357]","[10.263425269099713, 10.327913811721418]","rectangles[[(428, 724) (1093, 1390)]]",1,[10.0],[5.0],[20.0],"[(0.23903979582007825, 0.27292043965238433)]"
284,200/2016-09-17 15.24.06.jpg,200,31.0,15.0,47.0,"[0.5728311, 0.20666468, 0.5764705836772919]",0.4478641152381897,"[1.313472611823808, 58.9406481131655]","[10.25064531481395, 10.32448761181304]","rectangles[[(724, 724) (1389, 1390)], [(733, 1380) (822, 1470)]]",2,"[10.0, 6.0]","[5.0, 2.0]","[18.0, 10.0]","[(0.29414274181730704, 0.31232878675455056), (0.291547594742265, 0.26610007244439693)]"
285,200/2016-09-17 15.24.09.jpg,200,41.0,20.0,62.0,"[0.6091045, 0.19790144, 0.5411764681339264]",0.4144202470779419,"[-0.690446457054692, 89.49860334105779]","[10.207972264554124, 10.31330086644088]","rectangles[[(1342, 480) (1897, 1035)]]",1,[17.0],[6.0],[30.0],"[(0.5045592520846955, 0.4254705178175546)]"
286,201/2016-09-19 17.35.28.jpg,201,37.0,11.0,54.0,"[0.5336864, 0.2166612, 0.6000000089406967]",0.3273518979549408,"[1.4483352693775553, 196.4713719603953]","[10.231800949558524, 10.251742730576574]","rectangles[[(1026, 277) (1347, 598)]]",1,[9.0],[5.0],[17.0],"[(0.4228740625628494, 0.38604250981656285)]"
287,201/2016-09-19 17.35.29.jpg,201,37.0,12.0,53.0,"[0.53376454, 0.21293537, 0.5803921669721603]",0.3325831890106201,"[1.4659193880646628, 171.9447585708852]","[10.20193151997607, 10.344758707494131]","rectangles[[(1133, 348) (1454, 669)]]",1,[9.0],[5.0],[17.0],"[(0.43242292189317083, 0.4181694897800185)]"
288,202/2016-10-01 13.05.53.jpg,202,47.0,15.0,77.0,"[0.40584847, 0.29494178, 0.8078431412577629]",0.33175933361053467,"[0.9151007005533605, 82.00609733428362]","[10.203703368824716, 10.242584914437964]","rectangles[[(451, 400) (913, 862)]]",1,[25.0],[6.0],[47.0],"[(0.24437244841219374, 0.28233164747618333)]"
289,202/2016-10-01 13.06.14.jpg,202,39.0,17.0,58.0,"[0.43110916, 0.27616343, 0.7490196079015732]",0.3358398675918579,"[0.348771003583907, 70.22819946431775]","[10.135366148919152, 10.259410801259639]","rectangles[[(418, 461) (803, 846)], [(118, 461) (504, 846)]]",2,"[16.0, 15.0]","[7.0, 6.0]","[26.0, 26.0]","[(0.19761532431105847, 0.23972792837942733), (0.2142799698743529, 0.21414036597252992)]"
290,202/2016-10-01 13.06.54.jpg,202,49.0,17.0,77.0,"[0.43332195, 0.28653207, 0.7647058814764023]",0.35301274061203003,"[-1.380808038876181, 52.952809179494906]","[10.19316458456582, 10.294737769032189]","rectangles[[(118, 376) (504, 761)], [(455, 455) (776, 776)]]",2,"[13.0, 12.0]","[6.0, 6.0]","[25.0, 23.0]","[(0.3182630503067214, 0.30860956224957925), (0.3044147741832947, 0.3336769914184514)]"
291,203/IMG_7927.jpg,203,38.0,13.0,50.0,"[0.5207321, 0.2424102, 0.6235294193029404]",0.2741430699825287,"[-0.0511281102033495, 469.6136710105446]","[10.191584043461615, 10.367842812728345]","rectangles[[(1685, 1390) (2351, 2055)]]",1,[15.0],[5.0],[27.0],"[(0.4022864971185822, 0.41113933159336175)]"
